AccID	log2FC	Pvalue	FDR	Style	H_3.readCount	C_3.readCount	H_3.fpkm	C_3.fpkm
Clvs1	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.100830571554133
Cma1	2.38262907535363	1.07328380469086e-16	8.14667521351368e-16	up	121	21	7.45802198241131	1.43014752508367
Cmpk2	1.49750625083895	1.89572611930087e-95	6.40013622450925e-94	up	1407	451	29.5398921820389	10.4619973490459
Cmtr1	1.41067211253543	0.000291270779132501	0.000796659950674134	up	47	16	0.494927933572025	0.18616041825242
Cngb3	4.02600826230011	0.00403008331579178	0.00891301536517322	up	9	0	0.128431289185025	0
Cnn1	-1.35788558589365	8.74304105222934e-49	1.67836127986553e-47	down	319	740	8.50124679470706	21.7894825132221
Cnr1	-1.19638415903634	0.000253390769393483	0.000699832589130499	down	27	56	0.287930718801476	0.659835260250244
Cntd1	2.61097076302126	3.65949084079352e-05	0.00011449963283474	up	27	4	0.77685804216244	0.127163112253794
Cntfr	-1.40378386589732	1.29579330020821e-07	5.30967544913813e-07	down	38	91	1.24051783610613	3.28234376910198
Cntn1	-3.43669848837005	2.58823387489072e-11	1.43965874201479e-10	down	5	49	0.0548529020142154	0.593948705442435
Cntn2	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.0517148298579855
Cntn4	-2.23137958039255	0.00167486945904798	0.00401492979841246	down	4	17	0.038259586780758	0.179660440664663
Col12a1	-1.8443564572833	2.90064587843175e-62	6.79442390528584e-61	down	188	611	1.03921020773063	3.73172833646957
Col13a1	-1.08640773882308	1.27895716723007e-44	2.26737497797751e-43	down	499	959	10.4830310691427	22.2601552971383
Col14a1	-1.30965394362109	2.7643506521074e-48	5.23222006425691e-47	down	345	774	3.58799115534347	8.8939868864226
Col15a1	-1.87509998071441	2.20947258432626e-35	3.16541598105045e-34	down	100	332	1.11489934263211	4.08975223537116
Col16a1	-1.05795978228983	4.00635651284393e-33	5.44345727423152e-32	down	389	733	5.02007521639402	10.4517220799819
Col1a1	-1.92995505155095	0	0	down	2211	7625	25.0494869864555	95.4493986818571
Col1a2	-1.56854926680106	0	0	down	3990	10711	50.1240649222464	148.671136997156
Col26a1	2.02600826230011	0.00379913111782431	0.00846431479231211	up	18	4	0.433910663425259	0.106539600686261
Col28a1	-5.31384174058452	1.75225689987344e-19	1.51180831416859e-18	down	2	72	0.031765406329556	1.26351432813876
Col3a1	-2.04297603966593	0	0	down	5320	19842	64.23759865904	264.719763445741
Col4a5	-1.29670369299279	1.30338150044985e-110	5.17685798004761e-109	down	828	1841	8.51104878709381	20.9088326711412
Col5a1	-2.0089336833239	3.70986760495635e-215	2.95457661051139e-213	down	529	1927	4.2279619784355	17.0168970356293
Col5a2	-1.22744396127049	8.35925203394962e-136	4.10820202807714e-134	down	1166	2471	11.8243548521139	27.6869365145381
Col5a3	-3.00837206843033	1.01246781413229e-60	2.32598005228913e-59	down	46	335	0.505059058964292	4.06398780367398
Col6a3	-2.04256406907795	0	0	down	1135	4232	7.02669111954087	28.9483567457741
Col6a4	1.48411448347084	0.00137020258359753	0.00334868929471549	up	34	11	0.309896943312763	0.110778203033466
Col6a5	2.52446176976659	2.41080000136883e-25	2.60904000148139e-24	up	178	28	1.2834001417566	0.223060857457423
Col8a1	-1.0051321482302	1.00810060540365e-13	6.59469351386632e-13	down	169	307	2.22280109855224	4.46144485138857
Colec11	-2.36630916047865	0.00313311701685332	0.00710429365918121	down	3	14	0.139869190257483	0.721193986741245
Colec12	-1.03077342485249	2.68486044937505e-134	1.30299633683733e-132	down	1750	3236	35.3918453272936	72.3097611360931
Colgalt2	-1.13350012319687	7.24587645118714e-15	5.02583569838929e-14	down	139	276	2.2815912484228	5.00559121201321
Colq	-1.71248480161269	2.60022708736512e-64	6.21254256412004e-63	down	236	700	4.97658032496378	16.3094873649425
Commd1	-1.24579635316142	2.1875989160796e-06	7.98247442826977e-06	down	41	88	0.510951068422825	1.21171750630262
